Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt
8415,61.0,21.251837761380184,4.0,27.799013135033707,1.0,3.7163668797383673,3.0,4.519093168637493,14.0,13.94686245405007,24.0,40.426499570468444,15.0,76.51499693940012,0.0,0.0
8416,69.0,30.173431637499014,2.0,17.365633411478683,0.0,0.0,11.0,16.330408705592422,27.0,36.14990159193456,20.0,47.409093064049685,9.0,72.42295002816448,0.0,0.0
8417,31.0,16.37067431335583,1.0,11.588828369451848,0.0,0.0,4.0,9.460737937559129,6.0,9.122006841505131,14.0,33.524904214559385,6.0,42.75636000855127,,
8421,62.0,48.899755501222494,2.0,32.557382386456126,0.0,0.0,21.0,55.932880543347984,20.0,48.19160984072673,10.0,43.574883437186806,9.0,121.31014961585119,0.0,0.0
8425,44.0,22.326412145568206,2.0,19.632865416707567,0.0,0.0,13.0,28.086246381195178,10.0,14.37442502299908,11.0,27.833303813162622,8.0,65.80570864522497,0.0,0.0
8426,66.0,32.78981727129103,0.0,0.0,1.0,4.951965930474398,6.0,12.533160654230986,12.0,16.921666784178242,21.0,52.97144586822722,26.0,221.50281138183678,0.0,0.0
8435,45.0,20.69250931162919,2.0,19.40240589833139,1.0,5.10204081632653,9.0,18.601190476190474,11.0,14.677234275344915,10.0,20.378635039025085,12.0,79.15045181716246,0.0,0.0
8436,42.0,14.71495038959583,1.0,6.950719399457844,1.0,3.703017959637104,8.0,11.53020192266117,18.0,18.215489237681776,8.0,13.726364915411276,6.0,34.18803418803419,,
8437,37.0,28.276868757116986,1.0,15.867978419549349,0.0,0.0,8.0,26.1173321145245,17.0,37.45978581816579,9.0,32.46050638389959,1.0,11.678150181011327,1.0,76.42396961382968
9161,36.0,26.202398975195063,1.0,13.609145345672292,0.0,0.0,8.0,21.653223623666975,7.0,14.757658170472034,12.0,47.35409020954185,8.0,98.34050399508297,0.0,0.0
9162,273.0,18.393425260034522,16.0,20.179343919080832,4.0,3.240046980681219,35.0,8.168028004667445,77.0,14.78188086955854,71.0,28.104898565066797,70.0,88.10683583179146,0.0,0.0
9163,16.0,25.17662979339428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.603839602228258,8.0,64.07689227072487,7.0,184.35607058203846,,
9171,39.0,34.97255999139137,0.0,0.0,0.0,0.0,3.0,12.15854745886358,7.0,18.02915572039355,12.0,48.78842088144414,17.0,221.0950708804786,0.0,0.0
9172,10.0,9.440285474232741,2.0,41.06776180698152,1.0,11.28286133363421,0.0,0.0,2.0,5.5572536052682775,3.0,12.500520855035626,2.0,25.015634771732334,0.0,0.0
9173,9.0,7.035812284528249,0.0,0.0,0.0,0.0,2.0,7.120224999109972,2.0,4.381736920515292,2.0,7.317965605561654,3.0,35.0140056022409,0.0,0.0
9174,19.0,12.266057237296561,0.0,0.0,0.0,0.0,1.0,2.7837318709461902,4.0,6.931688212664194,7.0,23.62550204191839,7.0,80.29364533149806,0.0,0.0
9175,27.0,18.795814798571516,1.0,13.62583458236817,0.0,0.0,4.0,12.522305356416116,5.0,9.246759010966656,10.0,37.20099698671925,7.0,83.1353919239905,,
9176,33.0,24.834250193782406,1.0,13.296104241457254,0.0,0.0,1.0,3.131654766378554,10.0,20.899078350644736,7.0,28.010083630106838,14.0,191.3352466858002,,
9177,20.0,14.473665166230045,2.0,28.188865398167724,0.0,0.0,2.0,6.140431672346566,3.0,5.671077504725898,9.0,35.51837089072181,4.0,57.51258087706686,0.0,0.0
9178,16.0,8.888543223319093,1.0,10.698619878035734,1.0,5.918560606060606,2.0,4.222616333079976,7.0,10.419302502121072,3.0,9.731097343410426,2.0,23.843586075345733,0.0,0.0
9179,42.0,19.150886184459512,3.0,27.48763056624519,2.0,9.375146486663855,4.0,8.377489685215824,11.0,13.960631020522127,13.0,28.338492392204735,9.0,61.43344709897611,0.0,0.0
9180,5.0,5.654573418981272,4.0,101.41987829614604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.809773459670049,0.0,0.0,0.0,0.0
9181,25.0,20.781034396768135,0.0,0.0,0.0,0.0,0.0,0.0,13.0,29.471775107685332,4.0,15.9610550257372,8.0,111.95074167366359,0.0,0.0
9182,15.0,14.998500149985002,2.0,42.75331338178709,0.0,0.0,4.0,18.956447561726932,1.0,2.769239289967046,4.0,18.1867782122397,4.0,56.553089212498236,0.0,0.0
9183,18.0,15.534382767191383,1.0,17.445917655268666,0.0,0.0,1.0,3.709611603665096,3.0,7.288806822323186,4.0,16.35657329789409,9.0,133.09671694764862,0.0,0.0
9184,53.0,15.122420272032368,1.0,5.806863712908658,1.0,2.778626802634138,7.0,8.853586967519984,13.0,10.232916932328934,14.0,20.490603594637317,17.0,74.45038101077341,0.0,0.0
9185,18.0,18.498915757993075,0.0,0.0,1.0,10.683760683760683,3.0,13.384491835459981,2.0,5.690386092696389,8.0,40.33477866290209,4.0,71.49240393208221,0.0,0.0
