ags,region,typ,unter 3 Jahre,3 bis unter 6 Jahre,6 bis unter 10 Jahre,10 bis unter 15 Jahre,15 bis unter 18 Jahre,18 bis unter 20 Jahre,20 bis unter 25 Jahre,25 bis unter 30 Jahre,30 bis unter 35 Jahre,35 bis unter 40 Jahre,40 bis unter 45 Jahre,45 bis unter 50 Jahre,50 bis unter 55 Jahre,55 bis unter 60 Jahre,60 bis unter 65 Jahre,65 bis unter 75 Jahre,75 Jahre und mehr,Insgesamt
07233,Vulkaneifel, Landkreis,1444,1522,1983,2564,1720,1198,3011,3227,3362,3182,3259,3621,5062,5533,4971,7324,7663,60646
07235,Trier-Saarburg, Landkreis,4081,4349,5577,7160,4307,2938,6991,7856,8732,9472,9160,9986,13174,13120,10962,15682,15851,149398
07311,Frankenthal (Pfalz), kreisfreie Stadt,1474,1518,1807,2149,1351,962,2559,3048,3170,3037,2898,2950,3730,3676,3274,4896,6263,48762
07312,Kaiserslautern, kreisfreie Stadt,2909,2607,3072,3878,2394,2045,8771,9414,7275,5850,5117,5402,6963,7472,6425,9737,10699,100030
07313,Landau in der Pfalz, kreisfreie Stadt,1252,1219,1479,1921,1120,1098,4582,3831,3200,2698,2400,2782,3611,3581,2984,4317,4806,46881
07314,Ludwigshafen am Rhein, kreisfreie Stadt,5819,5737,6881,8285,4959,3466,10737,12210,12473,11554,10760,11067,13137,12635,10130,14995,17408,172253
07315,Mainz, kreisfreie Stadt,6255,5718,6946,8370,4927,4309,19828,22035,19763,16085,13072,12702,14762,13848,11547,17860,20551,218578
07316,Neustadt an der Weinstraße, kreisfreie Stadt,1479,1520,1810,2233,1469,1036,2490,3067,3239,2976,2650,3142,4363,4618,4050,5939,7183,53264
07317,Pirmasens, kreisfreie Stadt,1016,1115,1295,1687,1033,762,2282,2361,2342,2032,2048,2291,3065,3459,3073,4716,5654,40231
07318,Speyer, kreisfreie Stadt,1374,1335,1778,2202,1410,1056,2565,2942,3150,2988,2903,3209,4147,4259,3642,5531,6070,50561
07319,Worms, kreisfreie Stadt,2620,2511,3107,3907,2343,1735,5339,5697,5305,5111,5051,5214,6244,6439,5737,8380,8802,83542
